listing_id,listing,advertised_price,rent_low,rent_high,midpoint,main_distance_miles,main_distance_band,original_listing_url
ocpet5b7hm,Modern/High Ceilings 2bed/2 bath,"$1,250",1250.00,1250.00,1250.00,1.026552005,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/modern-high-ceilings-2bed-2-bath/ocpet5b7hm
7e6kx1w,Centennial Ridge Student Housing,"$599 - $2,157",599.00,2157.00,1378.00,2.372144719,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/centennial-ridge-student-housing/7e6kx1w
ocpw46rjcl,Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop,"$900 - $1,050",900.00,1050.00,975.00,3.334997030,>3–5 mi,https://offcampus.dasa.ncsu.edu/housing/property/brand-new-luxury-furnished-townhome-4-bed-3-5-bath-5-min-to-nc-state-and-3-mins-to-fenton-shop/ocpw46rjcl
ocpchygggd,Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!,$695,695.00,695.00,695.00,2.192366298,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/hurry-2-rooms-left-4br-4ba-condo-near-nc-state-all-utilities-and-internet-included/ocpchygggd
ocpesl9n3p,maisonNC --- Fully Furnished minutes away from Wolfline and Shopping,$750,750.00,750.00,750.00,1.619349362,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/maisonnc-fully-furnished-minutes-away-from-wolfline-and-shopping/ocpesl9n3p
ocpcm3jede,maisonNC --- Fully Furnished minutes away from Wolfline and Shopping,$750,750.00,750.00,750.00,1.600371218,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/maisonnc-fully-furnished-minutes-away-from-wolfline-and-shopping/ocpcm3jede
ocpnx5c0kn,Modern & spacious 3BR/3BA Apartment w/View,"$1,000",1000.00,1000.00,1000.00,1.036129373,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/modern-and-spacious-3br-3ba-apartment-w-view/ocpnx5c0kn
ocpjeweyz6,All Girls Unit - Room with Private Bathroom at  University Woods at Centennial Condominiums,$645,645.00,645.00,645.00,2.188347488,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/all-girls-unit-room-with-private-bathroom-at-university-woods-at-centennial-condominiums/ocpjeweyz6
0smdl31,Paloma Raleigh,"$749 - $1,599",749.00,1599.00,1174.00,2.624931081,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/paloma-raleigh/0smdl31
ocppjxdd3r,Collegeview Duplex--Brand New Luxury Housing within walking distance to NCSU,$900 - $950,900.00,950.00,925.00,0.249152533,0–1 mi,https://offcampus.dasa.ncsu.edu/housing/property/collegeview-duplex-brand-new-luxury-housing-within-walking-distance-to-ncsu/ocppjxdd3r
