"listing_id","listing","advertised_price","distance_miles","distance_band","beds","manual_classification","evidence_note","reviewed_date","prior_text_judgment","prior_text_audit_status","prior_text_evidence","saved_photo_count","original_listing_url"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","$1,250","1.026552005",">1–3 mi","2 Beds","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Each spacious bedroom features a private en-suite bathroom, providing comfort and privacy ideal for student life.","11","https://offcampus.dasa.ncsu.edu/housing/property/modern-high-ceilings-2bed-2-bath/ocpet5b7hm"
"7e6kx1w","Centennial Ridge Student Housing","$599 - $2,157","2.372144719",">1–3 mi","3 Beds","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Centennial accommodates the student lifestyle, with individual lease contracts, apartments equipped with a washer and dryer, private bathrooms, large closets, and free wireless internet property-wide.","57","https://offcampus.dasa.ncsu.edu/housing/property/centennial-ridge-student-housing/7e6kx1w"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","$900 - $1,050","3.335",">3–5 mi","3 Beds","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Every bedroom is thoughtfully furnished with a queen bed, premium mattress, study desk, ergonomic chair, dresser, nightstand, Smart TV, and closet storage.","13","https://offcampus.dasa.ncsu.edu/housing/property/brand-new-luxury-furnished-townhome-4-bed-3-5-bath-5-min-to-nc-state-and-3-mins-to-fenton-shop/ocpw46rjcl"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","$695","2.192366298",">1–3 mi","2 Beds","Private bedroom","","2026-09-20","Yes — explicit","Confirmed exclusive bedroom","Only 2 private rooms left!!!","9","https://offcampus.dasa.ncsu.edu/housing/property/hurry-2-rooms-left-4br-4ba-condo-near-nc-state-all-utilities-and-internet-included/ocpchygggd"
"ocpesl9n3p","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","$750","1.619349362",">1–3 mi","4 Beds","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Lovely fully furnished 4 bedroom, 4 bathroom units.","2","https://offcampus.dasa.ncsu.edu/housing/property/maisonnc-fully-furnished-minutes-away-from-wolfline-and-shopping/ocpesl9n3p"
"ocpcm3jede","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","$750","1.600371218",">1–3 mi","4 Beds","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Fully furnished 4 bedroom, 4 bathroom condo near Lake Johnson, NCSU and downtown Raleigh.","16","https://offcampus.dasa.ncsu.edu/housing/property/maisonnc-fully-furnished-minutes-away-from-wolfline-and-shopping/ocpcm3jede"
"ocpnx5c0kn","Modern & spacious 3BR/3BA Apartment w/View","$1,000","1.036129373",">1–3 mi","3 Beds","Private bedroom","","2026-09-20","Unknown","Unclear from saved text","Modern & spacious 3BR/3BA Apartment w/View","13","https://offcampus.dasa.ncsu.edu/housing/property/modern-and-spacious-3br-3ba-apartment-w-view/ocpnx5c0kn"
"ocpjeweyz6","All Girls Unit - Room with Private Bathroom at  University Woods at Centennial Condominiums","$645","2.188347488",">1–3 mi","4 Beds","Private bedroom","","2026-09-20","Yes — explicit","Confirmed exclusive bedroom","This private bedroom with en-suite bathroom in a fully furnished 4-bed/4-bath condo is the perfect fit for graduate or undergraduate students at NC State.","12","https://offcampus.dasa.ncsu.edu/housing/property/all-girls-unit-room-with-private-bathroom-at-university-woods-at-centennial-condominiums/ocpjeweyz6"
"0smdl31","Paloma Raleigh","$749 - $1,599","2.624931081",">1–3 mi","1 - 5 Beds","Private bedroom","","2026-09-20","Unknown","Unclear from saved text","Paloma Raleigh","68","https://offcampus.dasa.ncsu.edu/housing/property/paloma-raleigh/0smdl31"
"ocppjxdd3r","Collegeview Duplex--Brand New Luxury Housing within walking distance to NCSU","$900 - $950","0.249152533","0–1 mi","4 Beds","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Check out this brand new, large 4 bedroom, 4.5 bath, 2500sq ft.","28","https://offcampus.dasa.ncsu.edu/housing/property/collegeview-duplex-brand-new-luxury-housing-within-walking-distance-to-ncsu/ocppjxdd3r"
"ocpe1n95cm","Big Promotion w/best price ever. Move in Immediately . MarcomTowns. Great location nice","$950","0.243489368","0–1 mi","4 Beds","Private bedroom","","2026-09-20","Unknown","Unclear from saved text","Big Promotion w/best price ever. Move in Immediately . MarcomTowns. Great location nice","10","https://offcampus.dasa.ncsu.edu/housing/property/big-promotion-w-best-price-ever-move-in-immediately-marcomtowns-great-location-nice/ocpe1n95cm"
"ocp2evl6hb","University Oaks -","$725","0.440031949","0–1 mi","1 Bed","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","4-bedroom shared condo at 1120 Carlton Ave with only 2 rooms still available for the 2026–2027 school year.","8","https://offcampus.dasa.ncsu.edu/housing/property/university-oaks/ocp2evl6hb"
"ocpvlydr3e","Reavis ---Brand New Luxury Housing within walking distance to NCSU","$925 - $975","0.846079213","0–1 mi","4 Beds","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Check out this brand new, large 4 bedroom, 4.5 bath, 2600sq ft.","11","https://offcampus.dasa.ncsu.edu/housing/property/reavis-brand-new-luxury-housing-within-walking-distance-to-ncsu/ocpvlydr3e"
"ocpxdxd79p","4BR/4BA Condo| On Wolfline | Preleasing 27-28 Special $850 Util/Parking Incld | Mile to Campus","$875","0.655411437","0–1 mi","4 Beds","Private bedroom","","2026-09-20","Yes — explicit","Confirmed exclusive bedroom","* Private Bedroom Suites","32","https://offcampus.dasa.ncsu.edu/housing/property/4br-4ba-condo-on-wolfline-preleasing-27-28-special-850-util-parking-incld-mile-to-campus/ocpxdxd79p"
"ocpm68s5sh","Burt Drive Townhouses---Brand New Luxury Housing within walking distance to NCSU","$1,050","0.339887457","0–1 mi","4 Beds","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Check out these brand new, large 4 bedroom, 4.5 bath, 2430sq ft.","12","https://offcampus.dasa.ncsu.edu/housing/property/burt-drive-townhouses-brand-new-luxury-housing-within-walking-distance-to-ncsu/ocpm68s5sh"
"ocp2k0px98","Liberty station male only townhome- 5 miles from Centennial","$900","4.065",">3–5 mi","1 Bed","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","One room available in a townhouse in Raleigh, 5 miles (10 minutes) to NC State","4","https://offcampus.dasa.ncsu.edu/housing/property/liberty-station-male-only-townhome-5-miles-from-centennial/ocp2k0px98"
"z8cfdjw","Campus Crossings Raleigh","$685 - $870","2.420198986",">1–3 mi","2 - 4 Beds","Private bedroom","","2026-09-20","Unknown","Unclear from saved text","Campus Crossings at Raleigh provides 2-, 3- and 4-bedroom apartments and offers a private shuttle to North Carolina State University.","20","https://offcampus.dasa.ncsu.edu/housing/property/campus-crossings-raleigh/z8cfdjw"
"ocp6mp93ms","Newly Renovated - All Girls Unit Room with Private Bathroom","$645","2.193838767",">1–3 mi","4 Beds","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","All Girls Unit - Room with Private Bathroom for Rent – Near NCSU &amp; Downtown Raleigh!","16","https://offcampus.dasa.ncsu.edu/housing/property/newly-renovated-all-girls-unit-room-with-private-bathroom/ocp6mp93ms"
"75medjw","Brickside","$999 - $1,825","0.907876187","0–1 mi","Studio - 4 Beds","Private bedroom","","2026-09-20","Unknown","Unclear from saved text","Brickside","9","https://offcampus.dasa.ncsu.edu/housing/property/brickside/75medjw"
"ocp6wsb4yt","We have 1 bedroom open In a luxury 5 bed 5 full bath house 1/1/27-6/30/27","$1,200","1.634704383",">1–3 mi","1 Bed","Private bedroom","","2026-09-20","Yes — explicit","Confirmed exclusive bedroom","Enjoy your own private bedroom with a double closet and a private ensuite Full bathroom.","27","https://offcampus.dasa.ncsu.edu/housing/property/we-have-1-bedroom-open-in-a-luxury-5-bed-5-full-bath-house-1-1-27-6-30-27/ocp6wsb4yt"
"5x5ph7m","Redpoint Raleigh","$899 - $995","2.69627335",">1–3 mi","3 - 4 Beds","Private bedroom","","2026-09-20","Unknown","Unclear from saved text","Redpoint Raleigh","14","https://offcampus.dasa.ncsu.edu/housing/property/redpoint-raleigh/5x5ph7m"
"syvz9l4","The Wilde","$599 - $920","2.029406075",">1–3 mi","2 - 4 Beds","Private bedroom","","2026-09-20","Unknown","Unclear from saved text","Choose from our spacious two, three, and four-bedroom apartments, all fully furnished and available for lease by the bed.","50","https://offcampus.dasa.ncsu.edu/housing/property/the-wilde/syvz9l4"
"ocph8n0fc0","Affordable Student Housing 1 Block from Campus on Wolf Line","$640","0.443404653","0–1 mi","4 Beds","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","This is a 4 bedroom 4 bath unit with each unit having its own bathroom and walk in closet.","6","https://offcampus.dasa.ncsu.edu/housing/property/affordable-student-housing-1-block-from-campus-on-wolf-line/ocph8n0fc0"
"ocpx3vt61n","FURNISHED NCSU STUDENT HOUSING – TOWNHOME ROOM RENTAL WITH PRIVATE BATHROOM ($850/room)","$850","2.435520931",">1–3 mi","3 Beds","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","FURNISHED NCSU STUDENT HOUSING – TOWNHOME ROOM RENTAL WITH PRIVATE BATHROOM ($850/room)","11","https://offcampus.dasa.ncsu.edu/housing/property/furnished-ncsu-student-housing-townhome-room-rental-with-private-bathroom-850-room/ocpx3vt61n"
