listing_id,listing,advertised_price,rent_low_numeric,rent_high_numeric,advertised_midpoint_excel,distance_miles,distance_band,any_utility_classification_basis,core_utilities_included_from_structured_fields,all_5_core_structured,portal_utility_line_items_verbatim,description_utility_wording_verbatim,all_utilities_explicit_manual,all_utilities_exact_wording,all_utilities_manual_review_note,internet_wifi_explicit,internet_wifi_evidence,required_monthly_fees_portal,original_listing_url
ocpet5b7hm,Modern/High Ceilings 2bed/2 bath,"$1,250",1250.00,1250.00,=AVERAGE(D2:E2),1.026552005,>1–3 mi,Structured utility fields,Electricity; Gas; Heat; Trash Removal; Water/Sewer,Yes,"Electricity: Included
Gas: Included
Heat: Included
Trash Removal: Included
Water/Sewer: Included",,No,,,No,,None,https://offcampus.dasa.ncsu.edu/housing/property/modern-high-ceilings-2bed-2-bath/ocpet5b7hm
7e6kx1w,Centennial Ridge Student Housing,"$599 - $2,157",599.00,2157.00,=AVERAGE(D3:E3),2.372144719,>1–3 mi,Structured utility fields,Electricity; Heat; Water/Sewer,No,"Air Conditioning: Included
Electricity: Included
Heat: Included
High-Speed Internet: Included
Water/Sewer: Included",,No,,,Yes,High-Speed Internet: Included,Not reported,https://offcampus.dasa.ncsu.edu/housing/property/centennial-ridge-student-housing/7e6kx1w
ocpw46rjcl,Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop,"$900 - $1,050",900.00,1050.00,=AVERAGE(D4:E4),3.334997030,>3–5 mi,Saved description,,No,,"All utilities included
High-speed internet included",Yes,All utilities included,Manual review: saved wording explicitly states all utilities are included/inclusive.,Yes,High-speed internet included,None,https://offcampus.dasa.ncsu.edu/housing/property/brand-new-luxury-furnished-townhome-4-bed-3-5-bath-5-min-to-nc-state-and-3-mins-to-fenton-shop/ocpw46rjcl
ocpchygggd,Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!,$695,695.00,695.00,=AVERAGE(D5:E5),2.192366298,>1–3 mi,Structured utility fields + saved description,Electricity; Gas; Heat; Trash Removal; Water/Sewer,Yes,"Electricity: Included
Gas: Included
Heat: Included
High-Speed Internet: Included
Recycling: Included
Trash Removal: Included
Water/Sewer: Included","Rent is $695 per month per room and includes all utilities (electricity, water, and internet), with no hidden fees.",Yes,"Rent is $695 per month per room and includes all utilities (electricity, water, and internet), with no hidden fees.",Manual review: saved wording explicitly states all utilities are included/inclusive.,Yes,"High-Speed Internet: Included | Rent is $695 per month per room and includes all utilities (electricity, water, and internet), with no hidden fees.",None,https://offcampus.dasa.ncsu.edu/housing/property/hurry-2-rooms-left-4br-4ba-condo-near-nc-state-all-utilities-and-internet-included/ocpchygggd
ocpesl9n3p,maisonNC --- Fully Furnished minutes away from Wolfline and Shopping,$750,750.00,750.00,=AVERAGE(D6:E6),1.619349362,>1–3 mi,Saved description,,No,,"All utilities, wifi (google fiber) and parking included in the rent.",Yes,"All utilities, wifi (google fiber) and parking included in the rent.",Manual review: saved wording explicitly states all utilities are included/inclusive.,Yes,"All utilities, wifi (google fiber) and parking included in the rent.",None,https://offcampus.dasa.ncsu.edu/housing/property/maisonnc-fully-furnished-minutes-away-from-wolfline-and-shopping/ocpesl9n3p
ocpcm3jede,maisonNC --- Fully Furnished minutes away from Wolfline and Shopping,$750,750.00,750.00,=AVERAGE(D7:E7),1.600371218,>1–3 mi,Structured utility fields + saved description,Electricity; Heat; Water/Sewer,No,"Cable: Included
Electricity: Included
Heat: Included
High-Speed Internet: Included
Recycling: Included
Water/Sewer: Included","Rent includes all utilities, wifi and parking.",Yes,"Rent includes all utilities, wifi and parking.",Manual review: saved wording explicitly states all utilities are included/inclusive.,Yes,"High-Speed Internet: Included | Rent includes all utilities, wifi and parking.",None,https://offcampus.dasa.ncsu.edu/housing/property/maisonnc-fully-furnished-minutes-away-from-wolfline-and-shopping/ocpcm3jede
ocpnx5c0kn,Modern & spacious 3BR/3BA Apartment w/View,"$1,000",1000.00,1000.00,=AVERAGE(D8:E8),1.036129373,>1–3 mi,Structured utility fields,Electricity; Gas; Heat; Trash Removal; Water/Sewer,Yes,"Electricity: Included
Gas: Included
Heat: Included
High-Speed Internet: Included
Trash Removal: Included
Water/Sewer: Included",,No,,,Yes,High-Speed Internet: Included,None,https://offcampus.dasa.ncsu.edu/housing/property/modern-and-spacious-3br-3ba-apartment-w-view/ocpnx5c0kn
ocpjeweyz6,All Girls Unit - Room with Private Bathroom at  University Woods at Centennial Condominiums,$645,645.00,645.00,=AVERAGE(D9:E9),2.188347488,>1–3 mi,Structured utility fields + saved description,Trash Removal,No,"Recycling: Included
Trash Removal: Included","Included: sewer, trash
Not included: Water, Internet and Electricity (shared among roommates)",No,,,Yes,"Not included: Water, Internet and Electricity (shared among roommates)",None,https://offcampus.dasa.ncsu.edu/housing/property/all-girls-unit-room-with-private-bathroom-at-university-woods-at-centennial-condominiums/ocpjeweyz6
0smdl31,Paloma Raleigh,"$749 - $1,599",749.00,1599.00,=AVERAGE(D10:E10),2.624931081,>1–3 mi,Structured utility fields,Gas; Heat; Trash Removal; Water/Sewer,No,"Air Conditioning: Included
Cable: Included
Gas: Included
Heat: Included
High-Speed Internet: Included
Trash Removal: Included
Water/Sewer: Included",,No,,,Yes,High-Speed Internet: Included,Not reported,https://offcampus.dasa.ncsu.edu/housing/property/paloma-raleigh/0smdl31
ocppjxdd3r,Collegeview Duplex--Brand New Luxury Housing within walking distance to NCSU,$900 - $950,900.00,950.00,=AVERAGE(D11:E11),0.249152533,0–1 mi,Structured utility fields,Trash Removal,No,"Recycling: Included
Trash Removal: Included",,No,,,No,,None,https://offcampus.dasa.ncsu.edu/housing/property/collegeview-duplex-brand-new-luxury-housing-within-walking-distance-to-ncsu/ocppjxdd3r
ocpe1n95cm,Big Promotion w/best price ever. Move in Immediately . MarcomTowns. Great location nice,$950,950.00,950.00,=AVERAGE(D12:E12),0.243489368,0–1 mi,Structured utility fields,Trash Removal,No,"Recycling: Included
Trash Removal: Included",,No,,,No,,None,https://offcampus.dasa.ncsu.edu/housing/property/big-promotion-w-best-price-ever-move-in-immediately-marcomtowns-great-location-nice/ocpe1n95cm
ocp2evl6hb,University Oaks -,$725,725.00,725.00,=AVERAGE(D13:E13),0.440031949,0–1 mi,Structured utility fields + saved description,Electricity; Gas; Heat; Trash Removal; Water/Sewer,Yes,"Electricity: Included
Gas: Included
Heat: Included
High-Speed Internet: Included
Recycling: Included
Trash Removal: Included
Water/Sewer: Included","Parking, utilities, internet - included.",No,,,Yes,"High-Speed Internet: Included | Parking, utilities, internet - included.",None,https://offcampus.dasa.ncsu.edu/housing/property/university-oaks/ocp2evl6hb
ocpvlydr3e,Reavis ---Brand New Luxury Housing within walking distance to NCSU,$925 - $975,925.00,975.00,=AVERAGE(D14:E14),0.846079213,0–1 mi,Structured utility fields,Trash Removal,No,"Recycling: Included
Trash Removal: Included",,No,,,No,,None,https://offcampus.dasa.ncsu.edu/housing/property/reavis-brand-new-luxury-housing-within-walking-distance-to-ncsu/ocpvlydr3e
ocpxdxd79p,4BR/4BA Condo| On Wolfline | Preleasing 27-28 Special $850 Util/Parking Incld | Mile to Campus,$875,875.00,875.00,=AVERAGE(D15:E15),0.655411437,0–1 mi,Structured utility fields + saved description,Electricity; Heat; Trash Removal; Water/Sewer,No,"Electricity: Included
Heat: Included
High-Speed Internet: Included
Trash Removal: Included
Water/Sewer: Included","* All utilities included: Electric, water, trash, and unlimited Google Fiber High-Speed Internet",Yes,"* All utilities included: Electric, water, trash, and unlimited Google Fiber High-Speed Internet",Manual review: saved wording explicitly states all utilities are included/inclusive.,Yes,"High-Speed Internet: Included | * All utilities included: Electric, water, trash, and unlimited Google Fiber High-Speed Internet",None,https://offcampus.dasa.ncsu.edu/housing/property/4br-4ba-condo-on-wolfline-preleasing-27-28-special-850-util-parking-incld-mile-to-campus/ocpxdxd79p
ocpm68s5sh,Burt Drive Townhouses---Brand New Luxury Housing within walking distance to NCSU,"$1,050",1050.00,1050.00,=AVERAGE(D16:E16),0.339887457,0–1 mi,Structured utility fields,Trash Removal,No,"Recycling: Included
Trash Removal: Included",,No,,,No,,None,https://offcampus.dasa.ncsu.edu/housing/property/burt-drive-townhouses-brand-new-luxury-housing-within-walking-distance-to-ncsu/ocpm68s5sh
z8cfdjw,Campus Crossings Raleigh,$685 - $870,685.00,870.00,=AVERAGE(D17:E17),2.420198986,>1–3 mi,Structured utility fields,Electricity; Heat; Trash Removal; Water/Sewer,No,"Air Conditioning: Included
Electricity: Included
Heat: Included
High-Speed Internet: Included
Trash Removal: Included
Water/Sewer: Included",,No,,,Yes,High-Speed Internet: Included,Not reported,https://offcampus.dasa.ncsu.edu/housing/property/campus-crossings-raleigh/z8cfdjw
ocp6mp93ms,Newly Renovated - All Girls Unit Room with Private Bathroom,$645,645.00,645.00,=AVERAGE(D18:E18),2.193838767,>1–3 mi,Saved description,,No,,"Included: sewer, trash
Not included: Water, Internet and Electricity (shared among roommates)",No,,,Yes,"Not included: Water, Internet and Electricity (shared among roommates)",Not reported,https://offcampus.dasa.ncsu.edu/housing/property/newly-renovated-all-girls-unit-room-with-private-bathroom/ocp6mp93ms
5x5ph7m,Redpoint Raleigh,$899 - $995,899.00,995.00,=AVERAGE(D19:E19),2.696273350,>1–3 mi,Structured utility fields,Gas; Heat; Trash Removal; Water/Sewer,No,"Air Conditioning: Included
Gas: Included
Heat: Included
High-Speed Internet: Included
Trash Removal: Included
Water/Sewer: Included",,No,,,Yes,High-Speed Internet: Included,Not reported,https://offcampus.dasa.ncsu.edu/housing/property/redpoint-raleigh/5x5ph7m
