property_name,listing_number,listing_latitude,listing_longitude,campus_latitude,campus_longitude,distance_from_reference_miles,distance_to_nearest_boundary_feet
Modern/High Ceilings 2bed/2 bath,1,35.787311,-78.666093,35.77951,-78.68168,1.026552,140.2
The Hillsborough,2,35.78758,-78.66618,35.77951,-78.68168,1.032323,170.7
Modern & spacious 3BR/3BA Apartment w/View,3,35.78754,-78.666068,35.77951,-78.68168,1.036129,190.8
Yugo Raleigh Logan,4,35.788293,-78.665382,35.77951,-78.68168,1.096707,510.6
"2 blocks from central campus, 2 blocks from Village District!",5,35.7886,-78.66418,35.77951,-78.68168,1.164727,869.8
"Studio, One and Two Bedrooms at Westgrove Towers",6,35.787608,-78.700346,35.77951,-78.68168,1.18646,984.5
Hub Raleigh,7,35.784382,-78.660298,35.77951,-78.68168,1.244878,1293.0
"Hub Raleigh – 4x2 Lease Takeover, Available Now",8,35.785129,-78.66049,35.77951,-78.68168,1.249576,1317.8
The Hub Raleigh,9,35.785129,-78.66049,35.77951,-78.68168,1.249576,1317.8
Cozy house 10 min walk to campus,10,35.792829,-78.666357,35.77951,-78.68168,1.258758,1366.2
Signature 1505 4X4 Apartment,11,35.783773,-78.658911,35.77951,-78.68168,1.309799,1635.7
Signature 1505,12,35.78383,-78.658382,35.77951,-78.68168,1.339579,1793.0
616 at the Village,13,35.792999,-78.662003,35.77951,-78.68168,1.443938,2344.0
"1431 Collegiate Cir (Raleigh, NC)",14,35.76218,-78.69981,35.77951,-78.68168,1.570584,3012.7
4bed 4bath Apartment Near Centennial Campus,15,35.762747,-78.70112,35.77951,-78.68168,1.590319,3116.9
maisonNC --- Fully Furnished minutes away from Wolfline and Shopping,16,35.762694,-78.701312,35.77951,-78.68168,1.600371,3170.0
Spacious Forest Park Two-Room Suite + Private Bath - Walk to Campus (Includes Utilities),17,35.78692,-78.654559,35.77951,-78.68168,1.604061,3189.4
maisonNC --- Fully Furnished minutes away from Wolfline and Shopping,18,35.763398,-78.702658,35.77951,-78.68168,1.619349,3270.2
Condo near NCSU,19,35.763552,-78.702984,35.77951,-78.68168,1.625432,3302.3
Room in Condo on University Ct,20,35.763601,-78.70304,35.77951,-78.68168,1.625449,3302.4
Room in Condo on Collegiate Cir,21,35.761733,-78.700809,35.77951,-78.68168,1.630531,3329.2
5 bedroom 5 full Bath luxury house with 1Gig AT&T Fiber and 1 free parking space per bedroom,22,35.786652,-78.709465,35.77951,-78.68168,1.633689,3345.9
We have 1 bedroom open In a luxury 5 bed 5 full bath house 1/1/27-6/30/27,23,35.786652,-78.709484,35.77951,-78.68168,1.634704,3351.2
Lake Park Condos- Room Rental with Utilities,24,35.762115,-78.701515,35.77951,-78.68168,1.637357,3365.2
"Rent a WHOLE unit with water, electric, washer and dryer! 4 Bed 4 Bath! Lake Park Condos!",25,35.762115,-78.701515,35.77951,-78.68168,1.637357,3365.2
Room in Condo on University Ct,26,35.763461,-78.703185,35.77951,-78.68168,1.63798,3368.5
Room in House on Ravel St,27,35.772749,-78.709713,35.77951,-78.68168,1.639382,3375.9
Apartment close to NCSU,28,35.762406,-78.702305,35.77951,-78.68168,1.653317,3449.5
Room in Condo on Crab Orchard Dr,29,35.76253,-78.70263,35.77951,-78.68168,1.660043,3485.0
Fully Furnished 3BR Townhome Steps from Lake Johnson,30,35.766646,-78.707047,35.77951,-78.68168,1.676949,3574.3
Rare 4 bedroom 4 full bath only $2200. per month,31,35.762584,-78.703352,35.77951,-78.68168,1.686331,3623.8
Room in House on Pineland Cir,32,35.788639,-78.709617,35.77951,-78.68168,1.688144,3633.4
Prime ITB location one block off Ridge Road,33,35.804462,-78.688856,35.77951,-78.68168,1.770307,4067.2
Village Green Student Living,34,35.755208,-78.669348,35.77951,-78.68168,1.815869,4307.8
Voyager House,35,35.75259,-78.676327,35.77951,-78.68168,1.88405,4667.8
Village Green Student Housing,36,35.754039,-78.667439,35.77951,-78.68168,1.93251,4923.7
Campus Edge,37,35.754317,-78.697608,35.77951,-78.68168,1.956353,5049.5
"2810 Crestscene Trail (Raleigh, NC)",38,35.751168,-78.684513,35.77951,-78.68168,1.964676,5093.5
Village Green,39,35.75371,-78.66687,35.77951,-78.68168,1.966489,5103.1
Room in Condo on Trailwood Heights Ln,40,35.75105,-78.68598,35.77951,-78.68168,1.981121,5180.3
The Wilde,41,35.751208,-78.691361,35.77951,-78.68168,2.029406,5124.7
The Wilde,42,35.751416,-78.692771,35.77951,-78.68168,2.03827,5077.9
Room in House on Henslowe Dr,43,35.750496,-78.672966,35.77951,-78.68168,2.063347,4945.5
Lofts at Lineberry,44,35.74926,-78.679092,35.77951,-78.68168,2.095106,4777.8
University Woods,45,35.750831,-78.695304,35.77951,-78.68168,2.123646,4627.1
Madison Hunters Glen,46,35.783971,-78.719274,35.77951,-78.68168,2.129644,4595.5
The Station,47,35.798893,-78.711756,35.77951,-78.68168,2.152909,4472.6
The Station Raleigh,48,35.799954,-78.711159,35.77951,-78.68168,2.173712,4362.8
All Girls Unit - Room with Private Bathroom at  University Woods at Centennial Condominiums,49,35.749432,-78.693908,35.77951,-78.68168,2.188347,4285.5
Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!,50,35.749382,-78.69395,35.77951,-78.68168,2.192366,4264.3
Newly Renovated - All Girls Unit Room with Private Bathroom,51,35.749776,-78.695407,35.77951,-78.68168,2.193839,4256.5
1st Month FREE!,52,35.749033,-78.693983,35.77951,-78.68168,2.215851,4140.3
University Village at 2505,53,35.747318,-78.677292,35.77951,-78.68168,2.237819,4024.3
Room in Condo on Wolfmill Dr,54,35.749406,-78.696527,35.77951,-78.68168,2.240361,4010.9
Apartment close to campus,55,35.748959,-78.69618,35.77951,-78.68168,2.262,3896.6
An apartments with 3 bed and 3 bath for NC State Students www.ncstudentsliving.com,56,35.748959,-78.69618,35.77951,-78.68168,2.262,3896.6
University Suites Student Housing,57,35.747754,-78.693507,35.77951,-78.68168,2.292135,3737.5
Centennial Ridge Student Housing,58,35.745958,-78.69065,35.77951,-78.68168,2.372145,3315.1
Campus Crossings Raleigh,59,35.745552,-78.68826,35.77951,-78.68168,2.3751,3299.5
5 bedroom townhome available near NC State,60,35.745216,-78.684625,35.77951,-78.68168,2.375236,3298.8
Room in Townhome on Ivory Run Way,61,35.744672,-78.68458,35.77951,-78.68168,2.412562,3101.7
Campus Crossings Raleigh,62,35.744806,-78.687537,35.77951,-78.68168,2.420199,3061.3
FURNISHED NCSU STUDENT HOUSING – TOWNHOME ROOM RENTAL WITH PRIVATE BATHROOM ($850/room),63,35.784785,-78.724642,35.77951,-78.68168,2.435521,2980.4
Tryon Flats Apartments,64,35.743632,-78.686435,35.77951,-78.68168,2.493228,2675.8
