property_name,address,listing_latitude,listing_longitude,campus_latitude,campus_longitude,distance_from_reference_miles,distance_to_nearest_boundary_feet,boundary_note,listing_url
"591 E Cabarrus St (Raleigh, NC)",591 E Cabarrus St,35.77414,-78.62852,35.77951,-78.68168,3.002921,15.4,15 ft from nearest 3/5-mile boundary,https://offcampus.dasa.ncsu.edu/housing/property/591-e-cabarrus-st-raleigh-nc/gc0phpz
"707 E Martin St (Raleigh, NC)",707 E Martin St,35.776606,-78.62745,35.77951,-78.68168,3.046458,245.3,245 ft from nearest 3/5-mile boundary,https://offcampus.dasa.ncsu.edu/housing/property/707-e-martin-st-raleigh-nc/l1e6hxd
Room in House on Old Farm Rd,612 Old Farm Rd,35.774776,-78.735782,35.77951,-78.68168,3.050291,265.5,266 ft from nearest 3/5-mile boundary,https://offcampus.dasa.ncsu.edu/housing/property/room-in-house-on-old-farm-rd/k8k3t7b
Inona Place,228 Spark Street,35.786004,-78.739121,35.77951,-78.68168,3.250759,1324.0,"1,324 ft from nearest 3/5-mile boundary",https://offcampus.dasa.ncsu.edu/housing/property/inona-place/ocpssgbbl7
The Dakota,1201 Pine Haven Dr,35.798105,-78.735625,35.77951,-78.68168,3.285117,1505.4,"1,505 ft from nearest 3/5-mile boundary",https://offcampus.dasa.ncsu.edu/housing/property/the-dakota/9rxe6j6
Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop,,35.774826,-78.740894,35.77951,-78.68168,3.334997,1768.8,"1,769 ft from nearest 3/5-mile boundary",https://offcampus.dasa.ncsu.edu/housing/property/brand-new-luxury-furnished-townhome-4-bed-3-5-bath-5-min-to-nc-state-and-3-mins-to-fenton-shop/ocpw46rjcl
Wesley,442 Jefferson Towne Dr,35.779833,-78.741537,35.77951,-78.68168,3.355269,1875.8,"1,876 ft from nearest 3/5-mile boundary",https://offcampus.dasa.ncsu.edu/housing/property/wesley/seyb987
"644 Coleman St (Raleigh, NC)",644 Coleman St,35.770543,-78.622703,35.77951,-78.68168,3.363613,1919.9,"1,920 ft from nearest 3/5-mile boundary",https://offcampus.dasa.ncsu.edu/housing/property/644-coleman-st-raleigh-nc/35cz5ed
Room in Duplex on Bragg St,909 Bragg St,35.765736,-78.623853,35.77951,-78.68168,3.378505,1998.5,"1,999 ft from nearest 3/5-mile boundary",https://offcampus.dasa.ncsu.edu/housing/property/room-in-duplex-on-bragg-st/r66ecw0
"3111 Kentish Town Ln (Raleigh, NC)",3111 Kentish Town Ln,35.825827,-78.702069,35.77951,-78.68168,3.398042,2101.7,"2,102 ft from nearest 3/5-mile boundary",https://offcampus.dasa.ncsu.edu/housing/property/3111-kentish-town-ln-raleigh-nc/gdtz0ww
