boundary_miles,map_number,side,feet_from_boundary,boundary_position,audit_band,property_name,street_address,city,state,site_id,listing_latitude,listing_longitude,campus_latitude,campus_longitude,distance_from_reference_miles,original_ncsu_listing
1,1,inside,319.1,319 ft inside 1-mile boundary,,$300 off 1st month's rent! Spacious 3BD/2.5BA Townhome Rental available near NCSU for fall semester!,608 Brent Road,,,,35.773756,-78.696867,35.77951,-78.68168,0.939573,https://offcampus.dasa.ncsu.edu/housing/property/300-off-1st-months-rent-spacious-3bd-2-5ba-townhome-rental-available-near-ncsu-for-fall-semester/ocp5z7c91m
1,2,inside,407.6,408 ft inside 1-mile boundary,,Gorman Crossings,2101 Gorman St,,,,35.770408,-78.693727,35.77951,-78.68168,0.922796,https://offcampus.dasa.ncsu.edu/housing/property/gorman-crossings/tv2h1cb
1,3,inside,422.6,423 ft inside 1-mile boundary,,912 Chaney Rd. #100,912 Chaney Road #100,,,,35.786705,-78.69549,35.77951,-78.68168,0.919953,https://offcampus.dasa.ncsu.edu/housing/property/912-chaney-rd-100/ocpbnn75s8
1,4,inside,422.6,423 ft inside 1-mile boundary,,912 Chaney Rd. #102,912 Chaney Road #102,,,,35.786705,-78.69549,35.77951,-78.68168,0.919953,https://offcampus.dasa.ncsu.edu/housing/property/912-chaney-rd-102/ocpvv9069d
1,5,inside,445.1,445 ft inside 1-mile boundary,,Brand-New 4BR Townhomes - Eight at State,4204 Reavis Road,,,,35.785424,-78.6963,35.77951,-78.68168,0.9157,https://offcampus.dasa.ncsu.edu/housing/property/brand-new-4br-townhomes-eight-at-state/ocp85fz0j3
1,6,inside,486.4,486 ft inside 1-mile boundary,,Brickside,2600 Hillsborough St,,,,35.788447,-78.669806,35.77951,-78.68168,0.907876,https://offcampus.dasa.ncsu.edu/housing/property/brickside/75medjw
1,7,inside,789.6,790 ft inside 1-mile boundary,,Room in House on Okelly St,2923 Okelly St,,,,35.789836,-78.689938,35.77951,-78.68168,0.850449,https://offcampus.dasa.ncsu.edu/housing/property/room-in-house-on-okelly-st/tqbb2mb
1,8,inside,812.7,813 ft inside 1-mile boundary,,Reavis ---Brand New Luxury Housing within walking distance to NCSU,4104 Reavis Rd,,,,35.785622,-78.69476,35.77951,-78.68168,0.846079,https://offcampus.dasa.ncsu.edu/housing/property/reavis-brand-new-luxury-housing-within-walking-distance-to-ncsu/ocpvlydr3e
1,9,inside,838.6,839 ft inside 1-mile boundary,,"** WAITLIST for 2026-2027 ** 4 Bedroom, 4.5 Bathroom Unit Near NCSU Campus and Cup A Joe",3104 Douglas Street,,,,35.791166,-78.677347,35.77951,-78.68168,0.841175,https://offcampus.dasa.ncsu.edu/housing/property/waitlist-for-2026-2027-4-bedroom-4-5-bathroom-unit-near-ncsu-campus-and-cup-a-joe/ocp913l1z6
1,10,inside,919.4,919 ft inside 1-mile boundary,,Flex Stay | Lux Furnished | 3 Bed |  Pets OK | Utilities Incl. | International OK,532 Brent Road,,,,35.773384,-78.694331,35.77951,-78.68168,0.825872,https://offcampus.dasa.ncsu.edu/housing/property/flex-stay-lux-furnished-3-bed-pets-ok-utilities-incl-international-ok/ocpg8zsjmz
1,11,outside,140.2,140 ft outside 1-mile boundary,,Modern/High Ceilings 2bed/2 bath,,,,,35.787311,-78.666093,35.77951,-78.68168,1.026552,
1,12,outside,170.7,171 ft outside 1-mile boundary,,The Hillsborough,,,,,35.78758,-78.66618,35.77951,-78.68168,1.032323,
1,13,outside,190.8,191 ft outside 1-mile boundary,,Modern & spacious 3BR/3BA Apartment w/View,,,,,35.78754,-78.666068,35.77951,-78.68168,1.036129,
1,14,outside,510.6,511 ft outside 1-mile boundary,,Yugo Raleigh Logan,,,,,35.788293,-78.665382,35.77951,-78.68168,1.096707,
1,15,outside,869.8,870 ft outside 1-mile boundary,,"2 blocks from central campus, 2 blocks from Village District!",,,,,35.7886,-78.66418,35.77951,-78.68168,1.164727,
1,16,outside,984.5,985 ft outside 1-mile boundary,,"Studio, One and Two Bedrooms at Westgrove Towers",,,,,35.787608,-78.700346,35.77951,-78.68168,1.18646,
1,17,outside,1293.0,"1,293 ft outside 1-mile boundary",,Hub Raleigh,,,,,35.784382,-78.660298,35.77951,-78.68168,1.244878,
1,18,outside,1317.8,"1,318 ft outside 1-mile boundary",,"Hub Raleigh – 4x2 Lease Takeover, Available Now",,,,,35.785129,-78.66049,35.77951,-78.68168,1.249576,
1,19,outside,1317.8,"1,318 ft outside 1-mile boundary",,The Hub Raleigh,,,,,35.785129,-78.66049,35.77951,-78.68168,1.249576,
1,20,outside,1366.2,"1,366 ft outside 1-mile boundary",,Cozy house 10 min walk to campus,,,,,35.792829,-78.666357,35.77951,-78.68168,1.258758,
3,1,inside,158.9,159 ft inside 3-mile boundary,,Huge modern studio suite- private entrance and beth- near NCSU,,,,,35.822478,-78.680244,35.77951,-78.68168,2.969896,
3,2,inside,664.6,665 ft inside 3-mile boundary,,Campus West at Tryon,,,,,35.749441,-78.717104,35.77951,-78.68168,2.87412,
3,3,inside,749.8,750 ft inside 3-mile boundary,,Brook Hill Townhouse - Students Save Up to 10%,,,,,35.769074,-78.731014,35.77951,-78.68168,2.857987,
3,4,inside,1364.0,"1,364 ft inside 3-mile boundary",,"Bright 2 BR, 2 BA unit in vibrant Person St district",,,,,35.789176,-78.634239,35.77951,-78.68168,2.741666,
3,5,inside,1450.0,"1,450 ft inside 3-mile boundary",,Spacious En-suite with private patio and garage parking in Crescent Ridge Townhome Community,,,,,35.749844,-78.713718,35.77951,-78.68168,2.72537,
3,6,inside,1603.7,"1,604 ft inside 3-mile boundary",,Redpoint Raleigh,,,,,35.785793,-78.729156,35.77951,-78.68168,2.696273,
3,7,inside,1666.2,"1,666 ft inside 3-mile boundary",,"1233 S Blount St (Raleigh, NC)",,,,,35.765117,-78.637201,35.77951,-78.68168,2.684431,
3,8,inside,1980.4,"1,980 ft inside 3-mile boundary",,Paloma Raleigh,,,,,35.785778,-78.727869,35.77951,-78.68168,2.624931,
3,9,inside,2567.8,"2,568 ft inside 3-mile boundary",,"2626 Wolf Cub Ct (Raleigh, NC)",,,,,35.74314,-78.682772,35.77951,-78.68168,2.513673,
3,10,inside,2675.8,"2,676 ft inside 3-mile boundary",,Tryon Flats Apartments,,,,,35.743632,-78.686435,35.77951,-78.68168,2.493228,
3,11,outside,15.4,15 ft outside 3-mile boundary,,"591 E Cabarrus St (Raleigh, NC)",,,,,35.77414,-78.62852,35.77951,-78.68168,3.002921,
3,12,outside,245.3,245 ft outside 3-mile boundary,,"707 E Martin St (Raleigh, NC)",,,,,35.776606,-78.62745,35.77951,-78.68168,3.046458,
3,13,outside,265.5,266 ft outside 3-mile boundary,,Room in House on Old Farm Rd,,,,,35.774776,-78.735782,35.77951,-78.68168,3.050291,
3,14,outside,1324.0,"1,324 ft outside 3-mile boundary",,Inona Place,,,,,35.786004,-78.739121,35.77951,-78.68168,3.250759,
3,15,outside,1505.4,"1,505 ft outside 3-mile boundary",,The Dakota,,,,,35.798105,-78.735625,35.77951,-78.68168,3.285117,
3,16,outside,1768.8,"1,769 ft outside 3-mile boundary",,Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop,,,,,35.774826,-78.740894,35.77951,-78.68168,3.334997,
3,17,outside,1875.8,"1,876 ft outside 3-mile boundary",,Wesley,,,,,35.779833,-78.741537,35.77951,-78.68168,3.355269,
3,18,outside,1919.9,"1,920 ft outside 3-mile boundary",,"644 Coleman St (Raleigh, NC)",,,,,35.770543,-78.622703,35.77951,-78.68168,3.363613,
3,19,outside,1998.5,"1,999 ft outside 3-mile boundary",,Room in Duplex on Bragg St,,,,,35.765736,-78.623853,35.77951,-78.68168,3.378505,
3,20,outside,2101.7,"2,102 ft outside 3-mile boundary",,"3111 Kentish Town Ln (Raleigh, NC)",,,,,35.825827,-78.702069,35.77951,-78.68168,3.398042,
5,1,inside,287.3,287 ft inside 5-mile boundary,,"1101 Gunnison Pl (Raleigh, NC)",,,,,35.847296,-78.653331,35.77951,-78.68168,4.94558,
5,2,inside,817.6,818 ft inside 5-mile boundary,,St. Albans Lofts in North Hills,,,,,35.833976,-78.627217,35.77951,-78.68168,4.845151,
5,3,inside,1199.0,"1,199 ft inside 5-mile boundary",,"2850 Sanderford Rd (Raleigh, NC)",,,,,35.739414,-78.61236,35.77951,-78.68168,4.772917,
5,4,inside,1374.4,"1,374 ft inside 5-mile boundary",,Family Neighborhood with Greenway Access,,,,,35.799947,-78.600953,35.77951,-78.68168,4.739689,
5,5,inside,1422.3,"1,422 ft inside 5-mile boundary",,Room in House on Quartz Ct,,,,,35.746499,-78.607758,35.77951,-78.68168,4.730619,
5,6,inside,1460.1,"1,460 ft inside 5-mile boundary",,Room in House on Tall Rock Ct,,,,,35.782077,-78.597471,35.77951,-78.68168,4.723474,
5,7,inside,2552.8,"2,553 ft inside 5-mile boundary",,Room in House on Joyner Pl,,,,,35.844878,-78.681951,35.77951,-78.68168,4.516524,
5,8,inside,4035.4,"4,035 ft inside 5-mile boundary",,3 bedroom home close to campus and downtown Raleigh(Utilities included),,,,,35.748395,-78.616584,35.77951,-78.68168,4.235712,
5,9,inside,4896.0,"4,896 ft inside 5-mile boundary",,FURNISHED TOWNHOME RENTAL – 10 Mins to NCSU - 3 Bedroom - starting $750 per room,,,,,35.739252,-78.628621,35.77951,-78.68168,4.07273,
5,10,inside,4924.6,"4,925 ft inside 5-mile boundary",,Room in Townhome on Haskell Dr,,,,,35.738846,-78.629227,35.77951,-78.68168,4.067311,
