site_id,property_name,category_id,category_name,amenity_id,amenity_name
"kele8mc","Lofts at Lakeview","Lease Information","Lease Information","16","12 month lease"
"kele8mc","Lofts at Lakeview","Lease Information","Lease Information","17","9 month lease"
"kele8mc","Lofts at Lakeview","Lease Information","Lease Information","18","Flexible/Other lease"
"kele8mc","Lofts at Lakeview","Unit Features","Unit Features","1","Air Conditioning"
"kele8mc","Lofts at Lakeview","Unit Features","Unit Features","20","Carpet"
"kele8mc","Lofts at Lakeview","Unit Features","Unit Features","15","Disability Accessible"
"kele8mc","Lofts at Lakeview","Unit Features","Unit Features","26","Dishwasher"
"kele8mc","Lofts at Lakeview","Unit Features","Unit Features","82","Garbage Disposal"
"kele8mc","Lofts at Lakeview","Unit Features","Unit Features","21","Hardwood Floors"
"kele8mc","Lofts at Lakeview","Unit Features","Unit Features","303","High-Speed Internet Available"
"kele8mc","Lofts at Lakeview","Unit Features","Unit Features","468","Loft"
"kele8mc","Lofts at Lakeview","Unit Features","Unit Features","6","Patio, Balcony, Porch or Deck"
"kele8mc","Lofts at Lakeview","Community Features","Community Features","265","Clubhouse"
"kele8mc","Lofts at Lakeview","Community Features","Community Features","81","Elevator"
"kele8mc","Lofts at Lakeview","Community Features","Community Features","45","Fitness Room"
"kele8mc","Lofts at Lakeview","Community Features","Community Features","43","International Student Friendly"
"kele8mc","Lofts at Lakeview","Community Features","Community Features","10","Pool"
"kele8mc","Lofts at Lakeview","Community Features","Community Features","103","Walk to campus"
"kele8mc","Lofts at Lakeview","Security","Security","120","Courtesy Officer/Patrol"
"kele8mc","Lofts at Lakeview","Security","Security","96","Gated Community"
"kele8mc","Lofts at Lakeview","Security","Security","25","Security System"
"kele8mc","Lofts at Lakeview","Security","Security","98","Video Surveillance"
"kele8mc","Lofts at Lakeview","Laundry","Laundry","9","Washer/Dryer in Unit"
"kele8mc","Lofts at Lakeview","Convenient For","Convenient For","981","Undergraduates"
"kele8mc","Lofts at Lakeview","Convenient For","Convenient For","982","Graduate Students"
"kele8mc","Lofts at Lakeview","Convenient For","Convenient For","983","Faculty/Staff"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","10 & 11-foot ceilings throughout"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","24-Hour fitness center"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","30-day Money Back Guarantee"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Air Conditioner"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","BBQ/Picnic Area"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Bike Racks"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Built-in wine racks"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Carpeting"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Ceiling Fan"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Ceramic-tile showers with frameless glass doors"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Co-working space"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Controlled-access parking garage"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Designer kitchens"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Efficient Appliances"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Electronic Thermostat"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","EV charging stations"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Extra Storage"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Firepit lounge"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Full-sized washer/dryer"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Large Closets"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Loft-style floor plans"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Luxury hardwood & slate flooring"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Patio/Balcony"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Poolside grills"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Private movie theater"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Resident coffee & tea bar"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Smart parcel locker system"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Spacious walk-in closets"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Spin studio"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Two resort-style swimming pools"
"kele8mc","Lofts at Lakeview","Unique Features","Unique Features","","Wheelchair Access"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Lease Information","Lease Information","16","12 month lease"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Lease Information","Lease Information","102","Academic Year"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Lease Information","Lease Information","18","Flexible/Other lease"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Lease Information","Lease Information","87","Semester"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Lease Information","Lease Information","42","Short-Term lease"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Unit Features","Unit Features","1","Air Conditioning"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Unit Features","Unit Features","20","Carpet"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Unit Features","Unit Features","15","Disability Accessible"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Unit Features","Unit Features","26","Dishwasher"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Unit Features","Unit Features","7","Furnished"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Unit Features","Unit Features","82","Garbage Disposal"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Unit Features","Unit Features","303","High-Speed Internet Available"
