site_id,property_name,college_id,college_name,distance_miles,is_target
"kele8mc","Lofts at Lakeview","354","2610 Cates Avenue","24.29","false"
"kele8mc","Lofts at Lakeview","355","1070 Partners Way","27.65","false"
"kele8mc","Lofts at Lakeview","511","1060 William Moore Dr","22.14","true"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","354","2610 Cates Avenue","0.22","false"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","355","1070 Partners Way","0.88","false"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","511","1060 William Moore Dr","1.98","false"
"59xvx3n","Aventura RTP","354","2610 Cates Avenue","12.73","false"
"59xvx3n","Aventura RTP","355","1070 Partners Way","14.39","false"
"59xvx3n","Aventura RTP","511","1060 William Moore Dr","10.54","true"
"ocpvcjy8we","Rare 4 bedroom 4 full bath only $2200. per month","354","2610 Cates Avenue","1.8","false"
"ocpvcjy8we","Rare 4 bedroom 4 full bath only $2200. per month","355","1070 Partners Way","1.52","false"
"ocpvcjy8we","Rare 4 bedroom 4 full bath only $2200. per month","511","1060 William Moore Dr","3.02","false"
"7e6kx1w","Centennial Ridge Student Housing","354","2610 Cates Avenue","2.93","true"
"7e6kx1w","Centennial Ridge Student Housing","355","1070 Partners Way","6.6","false"
"7e6kx1w","Centennial Ridge Student Housing","511","1060 William Moore Dr","7.77","false"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","354","2610 Cates Avenue","5.25","false"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","355","1070 Partners Way","5.11","false"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","511","1060 William Moore Dr","2.71","false"
"mc0h4yh","The Reserve at Patterson Place","354","2610 Cates Avenue","24.36","false"
"mc0h4yh","The Reserve at Patterson Place","355","1070 Partners Way","27.69","false"
"mc0h4yh","The Reserve at Patterson Place","511","1060 William Moore Dr","22.17","true"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","354","2610 Cates Avenue","2.22","false"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","355","1070 Partners Way","0.85","false"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","511","1060 William Moore Dr","5.08","false"
"es0855q","Maxwell Raleigh","354","2610 Cates Avenue","0.18","true"
"es0855q","Maxwell Raleigh","355","1070 Partners Way","1.24","false"
"es0855q","Maxwell Raleigh","511","1060 William Moore Dr","1.35","false"
"ocpesl9n3p","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","354","2610 Cates Avenue","1.73","false"
"ocpesl9n3p","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","355","1070 Partners Way","1.1","false"
"ocpesl9n3p","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","511","1060 William Moore Dr","3.06","false"
"lvqgnje","Trellis-University Hill","354","2610 Cates Avenue","26.39","false"
"lvqgnje","Trellis-University Hill","355","1070 Partners Way","29.75","false"
"lvqgnje","Trellis-University Hill","511","1060 William Moore Dr","24.23","true"
"ocpcm3jede","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","354","2610 Cates Avenue","1.66","false"
"ocpcm3jede","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","355","1070 Partners Way","1.1","false"
"ocpcm3jede","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","511","1060 William Moore Dr","3.13","false"
"seyb987","Wesley","354","2610 Cates Avenue","4.29","false"
"seyb987","Wesley","355","1070 Partners Way","3.7","true"
"seyb987","Wesley","511","1060 William Moore Dr","2.93","false"
"ocpnx5c0kn","Modern & spacious 3BR/3BA Apartment w/View","354","2610 Cates Avenue","0.26","false"
"ocpnx5c0kn","Modern & spacious 3BR/3BA Apartment w/View","355","1070 Partners Way","0.92","false"
"ocpnx5c0kn","Modern & spacious 3BR/3BA Apartment w/View","511","1060 William Moore Dr","2.04","false"
"ll5gb9f","Rhyne's Gate Apartments","354","2610 Cates Avenue","0.2","true"
"ll5gb9f","Rhyne's Gate Apartments","355","1070 Partners Way","0.82","false"
"ll5gb9f","Rhyne's Gate Apartments","511","1060 William Moore Dr","1.56","false"
"ocp5ey2bmq","Furnished Studio/ADU | Olde Raleigh | Parking | Fast Wi-Fi","354","2610 Cates Avenue","9.08","false"
"ocp5ey2bmq","Furnished Studio/ADU | Olde Raleigh | Parking | Fast Wi-Fi","355","1070 Partners Way","10.9","false"
"ocp5ey2bmq","Furnished Studio/ADU | Olde Raleigh | Parking | Fast Wi-Fi","511","1060 William Moore Dr","7.66","false"
"70rqkwy","Brook Hill Townhouse - Students Save Up to 10%","354","2610 Cates Avenue","3.46","true"
"70rqkwy","Brook Hill Townhouse - Students Save Up to 10%","355","1070 Partners Way","3.72","false"
"70rqkwy","Brook Hill Townhouse - Students Save Up to 10%","511","1060 William Moore Dr","2.71","false"
"ocpjeweyz6","All Girls Unit - Room with Private Bathroom at  University Woods at Centennial Condominiums","354","2610 Cates Avenue","2.22","false"
"ocpjeweyz6","All Girls Unit - Room with Private Bathroom at  University Woods at Centennial Condominiums","355","1070 Partners Way","0.85","false"
"ocpjeweyz6","All Girls Unit - Room with Private Bathroom at  University Woods at Centennial Condominiums","511","1060 William Moore Dr","5.08","false"
"0smdl31","Paloma Raleigh","354","2610 Cates Avenue","2.28","true"
"0smdl31","Paloma Raleigh","355","1070 Partners Way","2.69","false"
"0smdl31","Paloma Raleigh","511","1060 William Moore Dr","1.58","false"
"ocppjxdd3r","Collegeview Duplex--Brand New Luxury Housing within walking distance to NCSU","354","2610 Cates Avenue","0.26","false"
"ocppjxdd3r","Collegeview Duplex--Brand New Luxury Housing within walking distance to NCSU","355","1070 Partners Way","0.49","false"
"ocppjxdd3r","Collegeview Duplex--Brand New Luxury Housing within walking distance to NCSU","511","1060 William Moore Dr","2.12","false"
"hgdd8s0","Lantower Bullhouse","354","2610 Cates Avenue","21.13","false"
"hgdd8s0","Lantower Bullhouse","355","1070 Partners Way","24.5","false"
"hgdd8s0","Lantower Bullhouse","511","1060 William Moore Dr","18.98","true"
"ocpe1n95cm","Big Promotion w/best price ever. Move in Immediately . MarcomTowns. Great location nice","354","2610 Cates Avenue","0.09","false"
"ocpe1n95cm","Big Promotion w/best price ever. Move in Immediately . MarcomTowns. Great location nice","355","1070 Partners Way","0.44","false"
"ocpe1n95cm","Big Promotion w/best price ever. Move in Immediately . MarcomTowns. Great location nice","511","1060 William Moore Dr","1.92","false"
"p8mlexs","Valentine Commons","354","2610 Cates Avenue","0.01","true"
"p8mlexs","Valentine Commons","355","1070 Partners Way","1.09","false"
