site_id,property_name,source,category,label,value,raw
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","search_price_tooltip","","Base Rent","$1,250","{""label"":""Base Rent"",""value"":""$1,250""}"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","search_price_tooltip","","Required Monthly Fees","None","{""label"":""Required Monthly Fees"",""value"":""None""}"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","detail_expenses_utilities","utilities","Electricity","","{""name"":""Electricity"",""price"":""Included"",""category"":""Utility""}"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","detail_expenses_utilities","utilities","Gas","","{""name"":""Gas"",""price"":""Included"",""category"":""Utility""}"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","detail_expenses_utilities","utilities","Heat","","{""name"":""Heat"",""price"":""Included"",""category"":""Utility""}"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","detail_expenses_utilities","utilities","Trash Removal","","{""name"":""Trash Removal"",""price"":""Included"",""category"":""Utility""}"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","detail_expenses_utilities","utilities","Water/Sewer","","{""name"":""Water/Sewer"",""price"":""Included"",""category"":""Utility""}"
"ocpvcjy8we","Rare 4 bedroom 4 full bath only $2200. per month","search_price_tooltip","","Base Rent","$2,200","{""label"":""Base Rent"",""value"":""$2,200""}"
"ocpvcjy8we","Rare 4 bedroom 4 full bath only $2200. per month","search_price_tooltip","","Required Monthly Fees","None","{""label"":""Required Monthly Fees"",""value"":""None""}"
"ocpvcjy8we","Rare 4 bedroom 4 full bath only $2200. per month","detail_expenses_utilities","utilities","Water/Sewer","","{""name"":""Water/Sewer"",""price"":""Included"",""category"":""Utility""}"
"7e6kx1w","Centennial Ridge Student Housing","detail_expenses_utilities","utilities","Air Conditioning","","{""name"":""Air Conditioning"",""price"":""Included"",""category"":""Utility""}"
"7e6kx1w","Centennial Ridge Student Housing","detail_expenses_utilities","utilities","Electricity","","{""name"":""Electricity"",""price"":""Included"",""category"":""Utility""}"
"7e6kx1w","Centennial Ridge Student Housing","detail_expenses_utilities","utilities","Heat","","{""name"":""Heat"",""price"":""Included"",""category"":""Utility""}"
"7e6kx1w","Centennial Ridge Student Housing","detail_expenses_utilities","utilities","High-Speed Internet","","{""name"":""High-Speed Internet"",""price"":""Included"",""category"":""Utility""}"
"7e6kx1w","Centennial Ridge Student Housing","detail_expenses_utilities","utilities","Water/Sewer","","{""name"":""Water/Sewer"",""price"":""Included"",""category"":""Utility""}"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","search_price_tooltip","","Base Rent","$900 - $1,050","{""label"":""Base Rent"",""value"":""$900 - $1,050""}"
"ocpw46rjcl","Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop","search_price_tooltip","","Required Monthly Fees","None","{""label"":""Required Monthly Fees"",""value"":""None""}"
"mc0h4yh","The Reserve at Patterson Place","detail_expenses_one_time","one_time","Security Deposit","","{""name"":""Security Deposit"",""price"":""$350"",""category"":""Admin""}"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","search_price_tooltip","","Base Rent","$695","{""label"":""Base Rent"",""value"":""$695""}"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","search_price_tooltip","","Required Monthly Fees","None","{""label"":""Required Monthly Fees"",""value"":""None""}"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","detail_expenses_utilities","utilities","Electricity","","{""name"":""Electricity"",""price"":""Included"",""category"":""Utility""}"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","detail_expenses_utilities","utilities","Gas","","{""name"":""Gas"",""price"":""Included"",""category"":""Utility""}"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","detail_expenses_utilities","utilities","Heat","","{""name"":""Heat"",""price"":""Included"",""category"":""Utility""}"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","detail_expenses_utilities","utilities","High-Speed Internet","","{""name"":""High-Speed Internet"",""price"":""Included"",""category"":""Utility""}"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","detail_expenses_utilities","utilities","Recycling","","{""name"":""Recycling"",""price"":""Included"",""category"":""Utility""}"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","detail_expenses_utilities","utilities","Trash Removal","","{""name"":""Trash Removal"",""price"":""Included"",""category"":""Utility""}"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","detail_expenses_utilities","utilities","Water/Sewer","","{""name"":""Water/Sewer"",""price"":""Included"",""category"":""Utility""}"
"ocpesl9n3p","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","search_price_tooltip","","Base Rent","$750","{""label"":""Base Rent"",""value"":""$750""}"
"ocpesl9n3p","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","search_price_tooltip","","Required Monthly Fees","None","{""label"":""Required Monthly Fees"",""value"":""None""}"
"lvqgnje","Trellis-University Hill","detail_expenses_utilities","utilities","Cable","","{""name"":""Cable"",""price"":""Included"",""category"":""Utility""}"
"lvqgnje","Trellis-University Hill","detail_expenses_utilities","utilities","High-Speed Internet","","{""name"":""High-Speed Internet"",""price"":""Included"",""category"":""Utility""}"
"lvqgnje","Trellis-University Hill","detail_expenses_utilities","utilities","Trash Removal","","{""name"":""Trash Removal"",""price"":""Included"",""category"":""Utility""}"
"lvqgnje","Trellis-University Hill","detail_expenses_utilities","utilities","Water/Sewer","","{""name"":""Water/Sewer"",""price"":""Included"",""category"":""Utility""}"
"ocpcm3jede","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","search_price_tooltip","","Base Rent","$750","{""label"":""Base Rent"",""value"":""$750""}"
"ocpcm3jede","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","search_price_tooltip","","Required Monthly Fees","None","{""label"":""Required Monthly Fees"",""value"":""None""}"
"ocpcm3jede","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","detail_expenses_utilities","utilities","Cable","","{""name"":""Cable"",""price"":""Included"",""category"":""Utility""}"
"ocpcm3jede","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","detail_expenses_utilities","utilities","Electricity","","{""name"":""Electricity"",""price"":""Included"",""category"":""Utility""}"
"ocpcm3jede","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","detail_expenses_utilities","utilities","Heat","","{""name"":""Heat"",""price"":""Included"",""category"":""Utility""}"
"ocpcm3jede","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","detail_expenses_utilities","utilities","High-Speed Internet","","{""name"":""High-Speed Internet"",""price"":""Included"",""category"":""Utility""}"
"ocpcm3jede","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","detail_expenses_utilities","utilities","Recycling","","{""name"":""Recycling"",""price"":""Included"",""category"":""Utility""}"
"ocpcm3jede","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","detail_expenses_utilities","utilities","Water/Sewer","","{""name"":""Water/Sewer"",""price"":""Included"",""category"":""Utility""}"
"ocpnx5c0kn","Modern & spacious 3BR/3BA Apartment w/View","search_price_tooltip","","Base Rent","$1,000","{""label"":""Base Rent"",""value"":""$1,000""}"
