site_id,property_name,floorplan_id,unit_key,name,beds,baths,price_low,price_high,price_range,all_in_price_range,per_bed_pricing,square_feet,units_available,availability,availability_description,available_date,deposit,deposit_description,application_fees,admin_fee,max_occupants,unit_number,is_unit,is_new,raw_unit_floorplans
"kele8mc","Lofts at Lakeview","935968","7sgyt2x","S1","0","1","1595","1595","$1,595","$1,731","false","685 sq. ft.","1","AvailableNow","Rentals Available","2026-08-21T23:59:59.000Z",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","935978","dzng4lj","A7","1","1","1695","1795","$1,695 - $1,795","$1,831 - $1,931","false","925 sq. ft.","21","AvailableNow","Rentals Available","2025-03-31T23:59:59.000Z",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","935972","vb02s3d","A4","1","1","1595","1695","$1,595 - $1,695","$1,731 - $1,831","false","747 sq. ft.","19","AvailableNow","Rentals Available","2026-01-07T23:59:59.000Z",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","935992","dseg23l","A14","1","1","1795","1795","$1,795","$1,931","false","1,038 sq. ft.","12","AvailableNow","Rentals Available","2024-07-31T23:59:59.000Z",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","935976","lfjbx5g","A6","1","1","1695","1695","$1,695","$1,831","false","911 sq. ft.","2","AvailableNow","Rentals Available","2023-05-31T23:59:59.000Z",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","935987","t5zspe8","A12","1","1","1695","1695","$1,695","$1,831","false","1,002 sq. ft.","1","AvailableNow","Rentals Available","2024-06-05T23:59:59.000Z",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","935989","26h1ng9","A13","1","1","1895","1895","$1,895","$2,031","false","1,022 sq. ft.","1","AvailableNow","Rentals Available","2024-04-30T23:59:59.000Z",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","935984","8fjc581","A10","1","1",,,"","","false","976 sq. ft.","0","AvailableSoon","Available Soon","",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","935986","pqpnmrs","A11","1","1",,,"","","false","988 sq. ft.","0","AvailableSoon","Available Soon","",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","935993","dwsg7vh","A15","1","1",,,"","","false","1,115 sq. ft.","0","AvailableSoon","Available Soon","",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","936003","4xw765h","B7","2","2","2195","2195","$2,195","$2,331","false","1,503 sq. ft.","16","AvailableNow","Rentals Available","2025-05-07T23:59:59.000Z",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","936007","hgpl4t1","B9","2","2","2695","2695","$2,695","$2,831","false","1,528 sq. ft.","6","AvailableNow","Rentals Available","2023-08-31T23:59:59.000Z",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","936006","rb3v142","B8","2","2","2795","2795","$2,795","$2,931","false","1,516 sq. ft.","3","AvailableNow","Rentals Available","2023-09-30T23:59:59.000Z",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","936001","b219j9b","B3","2","2","2195","2195","$2,195","$2,331","false","1,388 sq. ft.","2","AvailableNow","Rentals Available","2025-08-14T23:59:59.000Z",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","936021","yjgxkfv","B4","2","2","2395","2395","$2,395","$2,531","false","1,392 sq. ft.","2","AvailableNow","Rentals Available","2026-07-14T23:59:59.000Z",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","935999","heyl6b0","B6","2","2","2895","2895","$2,895","$3,031","false","1,455 sq. ft.","2","AvailableNow","Rentals Available","2026-06-22T23:59:59.000Z",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","936010","qv5fryw","B10","2","2","2195","2195","$2,195","$2,331","false","1,531 sq. ft.","1","AvailableNow","Rentals Available","2026-08-28T23:59:59.000Z",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","936012","t7qsmx9","B11","2","2","2195","2195","$2,195","$2,331","false","1,531 sq. ft.","1","AvailableNow","Rentals Available","2026-05-28T23:59:59.000Z",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","936016","t0cslnc","B13","2","2","2995","2995","$2,995","$3,131","false","1,672 sq. ft.","1","AvailableNow","Rentals Available","2024-08-10T23:59:59.000Z",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","936014","08833y3","B12","2","2",,,"","","false","1,580 sq. ft.","0","AvailableSoon","Available Soon","",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","936017","vgm2wvg","B1","2","2",,,"","","false","1,202 sq. ft.","0","AvailableSoon","Available Soon","",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","936020","msfq29l","B2","2","2",,,"","","false","1,220 sq. ft.","0","AvailableSoon","Available Soon","",,"",,,,"","false","false","[]"
"kele8mc","Lofts at Lakeview","936024","0fh35f1","B5","2","2",,,"","","false","1,402 sq. ft.","0","AvailableSoon","Available Soon","",,"",,,,"","false","false","[]"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","1","q2j0gkx","","2","2","1250","1250","$1,250","$1,250","true","950 sq. ft.","1","AvailableNow","Rentals Available","2026-07-07T23:59:59.000Z",,"","N/A","N/A","2","","false","false","[]"
