site_id,ocp_id,apartments_listing_key,name,street_address,city,state,zip,latitude,longitude,target_campus,api_distance_to_campus_miles,rent_low,rent_high,rent_display,beds_low,beds_high,beds_display,per_bed_pricing,per_semester_pricing,total_monthly_price,total_monthly_price_verified,shared_space,sublet,lease_term,hide_address,hide_map_pin,last_updated,property_type,total_units,active,image_count,listing_url
kele8mc,957690,1flvcm7,Lofts at Lakeview,2616 Erwin Rd,Durham,NC,27705,36.009311,-78.94637,Main Campus,24.29,1595,2995.0,"$1,595 - $2,995",0,2,Studio - 2 Beds,False,False,"$1,595 - $2,995",,False,False,12 Month Lease,False,False,2026-09-02T07:18:32Z,Apartment Community,351.0,True,2,https://offcampus.dasa.ncsu.edu/housing/property/lofts-at-lakeview/kele8mc
ocpet5b7hm,1384716,,Modern/High Ceilings 2bed/2 bath,2304 Hillsborough Street,Raleigh,NC,27607,35.787311,-78.666093,Main Campus,0.22,1250,1250.0,"$1,250",2,2,2 Beds,True,False,"$1,250 /Bedroom",True,False,False,6 Month Lease,False,False,2026-08-19T21:27:02Z,Apartment Community,,True,11,https://offcampus.dasa.ncsu.edu/housing/property/modern-high-ceilings-2bed-2-bath/ocpet5b7hm
59xvx3n,1581418,pbxey3s,Aventura RTP,200 Edinborough Dr,Durham,NC,27703,35.894098,-78.846917,Main Campus,12.73,1149,1946.0,"$1,149 - $1,946",1,3,1 - 3 Beds,False,False,"$1,149 - $1,946",,False,False,,False,False,2026-09-07T07:45:06Z,Apartment Community,330.0,True,2,https://offcampus.dasa.ncsu.edu/housing/property/aventura-rtp/59xvx3n
ocpvcjy8we,885763,,Rare 4 bedroom 4 full bath only $2200. per month,1351 Crab Orchard Drive 202,Raleigh,NC,27606,35.762584,-78.703352,Main Campus,1.8,2200,2200.0,"$2,200",4,4,4 Beds,False,False,"$2,200",True,False,False,12 Month Lease,False,False,2026-08-07T10:33:48Z,Residential Condo Unit For Rent,,True,13,https://offcampus.dasa.ncsu.edu/housing/property/rare-4-bedroom-4-full-bath-only-2200-per-month/ocpvcjy8we
7e6kx1w,681217,mf64y1h,Centennial Ridge Student Housing,2450 Centennial Ridge Way,Raleigh,NC,27603,35.745958,-78.69065,Main Campus,2.93,599,2157.0,"$599 - $2,157",3,3,3 Beds,True,False,"$599 - $2,157 /Bedroom",,False,False,11 Month Lease,False,False,2026-08-14T07:28:17Z,Apartment Community,60.0,True,2,https://offcampus.dasa.ncsu.edu/housing/property/centennial-ridge-student-housing/7e6kx1w
ocpw46rjcl,2248845,,Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop,,Raleigh,NC,27606,35.774826,-78.740894,Main Campus,5.25,900,1050.0,"$900 - $1,050",3,3,3 Beds,True,False,"$900 - $1,050 /Bedroom",True,True,False,12 Month Lease,True,False,2026-07-08T00:53:37Z,Townhome,,True,13,https://offcampus.dasa.ncsu.edu/housing/property/brand-new-luxury-furnished-townhome-4-bed-3-5-bath-5-min-to-nc-state-and-3-mins-to-fenton-shop/ocpw46rjcl
mc0h4yh,1097868,78067yw,The Reserve at Patterson Place,1055 Stillwell Dr,Durham,NC,27707,35.950566,-78.983303,Main Campus,24.36,1288,2422.0,"$1,288 - $2,422",1,3,1 - 3 Beds,False,False,"$1,288 - $2,422",,False,False,,False,False,2026-09-07T07:40:35Z,Apartment Community,345.0,True,2,https://offcampus.dasa.ncsu.edu/housing/property/the-reserve-at-patterson-place/mc0h4yh
ocpchygggd,1087411,,Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!,2020 University Woods Road Apt 102,Raleigh,NC,27603,35.749382,-78.69395,Main Campus,2.22,695,695.0,$695,2,2,2 Beds,True,False,$695 /Bedroom,True,True,False,12 Month Lease,False,False,2026-02-16T16:42:25Z,Residential Condo Unit For Rent,,True,9,https://offcampus.dasa.ncsu.edu/housing/property/hurry-2-rooms-left-4br-4ba-condo-near-nc-state-all-utilities-and-internet-included/ocpchygggd
es0855q,1022168,yt0y65v,Maxwell Raleigh,3101 Hillsborough St,Raleigh,NC,27607,35.78944,-78.678155,Main Campus,0.18,799,1899.0,"$799 - $1,899",0,4,Studio - 4 Beds,False,False,"$799 - $1,899",,False,False,11 Month Lease,False,False,2026-08-29T07:34:06Z,Apartment Community,234.0,True,2,https://offcampus.dasa.ncsu.edu/housing/property/maxwell-raleigh/es0855q
ocpesl9n3p,2212882,,maisonNC --- Fully Furnished minutes away from Wolfline and Shopping,1251 University Court,Raleigh,NC,27606,35.763398,-78.702658,Main Campus,1.73,750,750.0,$750,4,4,4 Beds,True,False,$750 /Bedroom,True,True,False,6 Month Lease,False,False,2026-09-03T16:16:57Z,Residential Condo Unit For Rent,,True,2,https://offcampus.dasa.ncsu.edu/housing/property/maisonnc-fully-furnished-minutes-away-from-wolfline-and-shopping/ocpesl9n3p
lvqgnje,2098340,0rqspj1,Trellis-University Hill,3017 Pickett Rd,Durham,NC,27705,35.973823,-78.963096,Main Campus,26.39,1400,1625.0,"$1,400 - $1,625",1,2,1 - 2 Beds,False,False,"$1,400 - $1,625",,False,False,12 Month Lease,False,False,2026-08-20T08:00:01Z,Apartment Community,75.0,True,2,https://offcampus.dasa.ncsu.edu/housing/property/trellis-university-hill/lvqgnje
ocpcm3jede,952545,,maisonNC --- Fully Furnished minutes away from Wolfline and Shopping,1440 Collegiate Circle,Raleigh,NC,27606,35.762694,-78.701312,Main Campus,1.66,750,750.0,$750,4,4,4 Beds,True,False,$750 /Bedroom,True,True,False,6 Month Lease,False,False,2026-09-03T16:23:39Z,Residential Condo Unit For Rent,,True,16,https://offcampus.dasa.ncsu.edu/housing/property/maisonnc-fully-furnished-minutes-away-from-wolfline-and-shopping/ocpcm3jede
seyb987,949937,bfywb8c,Wesley,442 Jefferson Towne Dr,Raleigh,NC,27606,35.779833,-78.741537,Main Campus,4.29,1240,2160.0,"$1,240 - $2,160",1,3,1 - 3 Beds,False,False,"$1,240 - $2,160",,False,False,,False,False,2026-09-03T07:38:50Z,Apartment Community,354.0,True,2,https://offcampus.dasa.ncsu.edu/housing/property/wesley/seyb987
ocpnx5c0kn,890238,,Modern & spacious 3BR/3BA Apartment w/View,2304 Hillsborough Street,Raleigh,NC,27607,35.78754,-78.666068,Main Campus,0.26,1000,1000.0,"$1,000",3,3,3 Beds,True,False,"$1,000 /Bedroom",True,False,False,12 Month Lease,False,False,2026-09-03T12:50:45Z,Apartment Community,,True,13,https://offcampus.dasa.ncsu.edu/housing/property/modern-and-spacious-3br-3ba-apartment-w-view/ocpnx5c0kn
ll5gb9f,2372474,0h5s992,Rhyne's Gate Apartments,1110 McKimmon View Ct,Raleigh,NC,27606,35.783346,-78.688047,Main Campus,0.2,1150,1150.0,"$1,150",2,2,2 Beds,False,False,"$1,150",,False,False,,False,False,2026-09-02T07:57:49Z,Apartment Community,48.0,True,2,https://offcampus.dasa.ncsu.edu/housing/property/rhynes-gate-apartments/ll5gb9f
ocp5ey2bmq,1898461,,Furnished Studio/ADU | Olde Raleigh | Parking | Fast Wi-Fi,,Raleigh,NC,27613,35.878112,-78.720793,Main Campus,9.08,1875,1875.0,"$1,875",0,0,Studio,False,False,"$1,875",True,False,False,1 Month Lease,True,False,2026-01-17T20:05:49Z,Apartment Unit For Rent,,True,17,https://offcampus.dasa.ncsu.edu/housing/property/furnished-studio-adu-olde-raleigh-parking-fast-wi-fi/ocp5ey2bmq
70rqkwy,915262,m3r1jwk,Brook Hill Townhouse - Students Save Up to 10%,5425 Dana Dr,Raleigh,NC,27606,35.769074,-78.731014,Main Campus,3.46,1350,1645.0,"$1,350 - $1,645",1,3,1 - 3 Beds,False,False,"$1,350 - $1,645",,False,False,1 Month Lease,False,False,2026-09-07T07:33:54Z,Apartment Community,100.0,True,2,https://offcampus.dasa.ncsu.edu/housing/property/brook-hill-townhouse-students-save-up-to-10/70rqkwy
ocpjeweyz6,1299975,,All Girls Unit - Room with Private Bathroom at  University Woods at Centennial Condominiums,2020 University Woods Rd,Raleigh,NC,27603,35.749432,-78.693908,Main Campus,2.22,645,645.0,$645,4,4,4 Beds,True,False,$645 /Bedroom,True,True,False,12 Month Lease,False,False,2026-08-09T22:03:13Z,Residential Condo Unit For Rent,,True,12,https://offcampus.dasa.ncsu.edu/housing/property/all-girls-unit-room-with-private-bathroom-at-university-woods-at-centennial-condominiums/ocpjeweyz6
0smdl31,635486,ltmth3e,Paloma Raleigh,5701 Hillsborough St,Raleigh,NC,27606,35.785778,-78.727869,Main Campus,2.28,749,1599.0,"$749 - $1,599",1,5,1 - 5 Beds,True,False,"$749 - $1,599 /Bedroom",,False,False,,False,False,2026-05-31T07:23:07Z,Apartment Community,180.0,True,2,https://offcampus.dasa.ncsu.edu/housing/property/paloma-raleigh/0smdl31
ocppjxdd3r,893905,,Collegeview Duplex--Brand New Luxury Housing within walking distance to NCSU,1505 Collegeview Avenue,Raleigh,NC,27606,35.777665,-78.685499,Main Campus,0.26,900,950.0,$900 - $950,4,4,4 Beds,True,False,$900 - $950 /Bedroom,True,False,False,12 Month Lease,False,False,2026-04-01T16:07:30Z,Duplex,,True,28,https://offcampus.dasa.ncsu.edu/housing/property/collegeview-duplex-brand-new-luxury-housing-within-walking-distance-to-ncsu/ocppjxdd3r
hgdd8s0,1739564,3ddtcsd,Lantower Bullhouse,504 E Pettigrew St,Durham,NC,27701,35.989797,-78.898555,Main Campus,21.13,1377,4346.0,"$1,377 - $4,346",0,2,Studio - 2 Beds,False,False,"$1,377 - $4,346",True,False,False,,False,False,2026-09-07T07:46:54Z,Apartment Community,305.0,True,2,https://offcampus.dasa.ncsu.edu/housing/property/lantower-bullhouse/hgdd8s0
ocpe1n95cm,1051859,,Big Promotion w/best price ever. Move in Immediately . MarcomTowns. Great location nice,3601 Marcom Street Unit 101,Raleigh,NC,27606,35.779182,-78.686005,Main Campus,0.09,950,950.0,$950,4,4,4 Beds,True,False,$950 /Bedroom,True,False,False,12 Month Lease,False,False,2026-08-19T18:15:14Z,Townhome,,True,10,https://offcampus.dasa.ncsu.edu/housing/property/big-promotion-w-best-price-ever-move-in-immediately-marcomtowns-great-location-nice/ocpe1n95cm
p8mlexs,958697,5cm5fxn,Valentine Commons,3009 M E Valentine Dr,Raleigh,NC,27607,35.788189,-78.676931,Main Campus,0.01,1190,2238.0,"$1,190 - $2,238",2,4,2 - 4 Beds,False,False,"$1,190 - $2,238",,False,False,12 Month Lease,False,False,2026-08-19T07:22:49Z,Apartment Community,277.0,True,2,https://offcampus.dasa.ncsu.edu/housing/property/valentine-commons/p8mlexs
ocp2evl6hb,1068891,,University Oaks -,1120 Carlton Avenue,Raleigh,NC,27606,35.782805,-78.688398,Main Campus,0.24,725,725.0,$725,1,1,1 Bed,True,False,$725 /Bedroom,True,True,False,12 Month Lease,False,False,2026-06-02T04:46:13Z,Residential Condo Unit For Rent,,True,8,https://offcampus.dasa.ncsu.edu/housing/property/university-oaks/ocp2evl6hb
fgrbwjv,632792,xdrwzjq,Stanhope,3001 Hillsborough St,Raleigh,NC,27607,35.789503,-78.676817,Main Campus,0.05,845,1695.0,"$845 - $1,695",0,4,Studio - 4 Beds,False,False,"$845 - $1,695",,False,False,11 Month Lease,False,False,2026-09-05T07:23:15Z,Apartment Community,300.0,True,2,https://offcampus.dasa.ncsu.edu/housing/property/stanhope/fgrbwjv
ocpvlydr3e,901410,,Reavis ---Brand New Luxury Housing within walking distance to NCSU,4104 Reavis Rd,Raleigh,NC,27606,35.785622,-78.69476,Main Campus,0.32,925,975.0,$925 - $975,4,4,4 Beds,True,False,$925 - $975 /Bedroom,True,True,False,12 Month Lease,False,False,2026-04-01T16:11:07Z,Duplex,,True,11,https://offcampus.dasa.ncsu.edu/housing/property/reavis-brand-new-luxury-housing-within-walking-distance-to-ncsu/ocpvlydr3e
86fjg60,2210773,v5f7d6d,HeyDay Raleigh,2812 Hillsborough St,Raleigh,NC,27607,35.789556,-78.674739,Main Campus,0.0,1349,2269.0,"$1,349 - $2,269",0,4,Studio - 4 Beds,False,False,"$1,349 - $2,269",,False,False,11 Month Lease,False,False,2026-08-26T07:59:40Z,Apartment Community,138.0,True,2,https://offcampus.dasa.ncsu.edu/housing/property/heyday-raleigh/86fjg60
ocpxdxd79p,1424343,,4BR/4BA Condo| On Wolfline | Preleasing 27-28 Special $850 Util/Parking Incld | Mile to Campus,1511 Graduate Lane,Raleigh,NC,27606,35.773343,-78.690564,Main Campus,0.5,875,875.0,$875,4,4,4 Beds,True,False,$875 /Bedroom,True,False,False,12 Month Lease,False,False,2026-09-08T15:04:07Z,Residential Condo Unit For Rent,,True,32,https://offcampus.dasa.ncsu.edu/housing/property/4br-4ba-condo-on-wolfline-preleasing-27-28-special-850-util-parking-incld-mile-to-campus/ocpxdxd79p
9de4we5,2291495,tgekze9,LYV Woodcroft at Southpoint,4655 Hope Valley Rd,Durham,NC,27707,35.924925,-78.953214,Main Campus,19.38,1200,1400.0,"$1,200 - $1,400",1,2,1 - 2 Beds,False,False,"$1,200 - $1,400",,False,False,12 Month Lease,False,False,2026-09-02T07:56:43Z,Apartment Community,264.0,True,2,https://offcampus.dasa.ncsu.edu/housing/property/lyv-woodcroft-at-southpoint/9de4we5
ocpm68s5sh,901422,,Burt Drive Townhouses---Brand New Luxury Housing within walking distance to NCSU,3609 Burt Drive,Raleigh,NC,27606,35.776121,-78.686075,Main Campus,0.29,1050,1050.0,"$1,050",4,4,4 Beds,True,False,"$1,050 /Bedroom",True,True,False,12 Month Lease,False,False,2026-04-01T16:08:29Z,Townhome,,True,12,https://offcampus.dasa.ncsu.edu/housing/property/burt-drive-townhouses-brand-new-luxury-housing-within-walking-distance-to-ncsu/ocpm68s5sh
