site_id,name,address,city,state,zip,lat,lon,rent_low,rent_high,rent_display,original_pricing_type,pricing_type,beds_low,beds_high,beds_display,property_type,shared_space,sublet,lease_term,last_updated,listing_url,eligible_price,review_status,exclusion_reason,review_note,review_date,flags,floorplan_count,floorplan_low,floorplan_high,earliest_date,latest_date,all_2027_or_later,all_in_differs,distance_main,band_main,boundary_feet_main,distance_centennial,band_centennial,boundary_feet_centennial,distance_vet,band_vet,boundary_feet_vet,in_union
kele8mc,Lofts at Lakeview,2616 Erwin Rd,Durham,NC,27705,36.009311,-78.94637,1595.0,2995.0,"$1,595 - $2,995",Whole unit,Whole unit,0.0,2.0,Studio - 2 Beds,Apartment Community,False,False,12 Month Lease,2026-09-02T07:18:32Z,https://offcampus.dasa.ncsu.edu/housing/property/lofts-at-lakeview/kele8mc,True,Included in rent means,,Source pricing flag retained; automated consistency checks passed. This is not independent landlord verification.,2026-09-13,floorplan_all_in_differs,23,1595.0,2995.0,2023-05-31,2026-08-28,False,True,21.716273750140108,Outside 5 mi,88261.92540073977,22.42522403224381,Outside 5 mi,92005.18289024732,19.902017808482075,Outside 5 mi,78682.65402878536,False
ocpet5b7hm,Modern/High Ceilings 2bed/2 bath,2304 Hillsborough Street,Raleigh,NC,27607,35.787311,-78.666093,1250.0,1250.0,"$1,250",Per bedroom,Per bedroom,2.0,2.0,2 Beds,Apartment Community,False,False,6 Month Lease,2026-08-19T21:27:02Z,https://offcampus.dasa.ncsu.edu/housing/property/modern-high-ceilings-2bed-2-bath/ocpet5b7hm,True,Included in rent means,,Source pricing flag retained; automated consistency checks passed. This is not independent landlord verification.,2026-09-13,,1,1250.0,1250.0,2026-07-07,2026-07-07,False,False,1.0265520051795092,>1–3 mi,140.19458734780844,1.4361006961396345,>1–3 mi,2302.6116756172705,2.26426412281224,>1–3 mi,3884.6854315513715,True
59xvx3n,Aventura RTP,200 Edinborough Dr,Durham,NC,27703,35.894098,-78.846917,1149.0,1946.0,"$1,149 - $1,946",Whole unit,Whole unit,1.0,3.0,1 - 3 Beds,Apartment Community,False,False,,2026-09-07T07:45:06Z,https://offcampus.dasa.ncsu.edu/housing/property/aventura-rtp/59xvx3n,True,Included in rent means,,Source pricing flag retained; automated consistency checks passed. This is not independent landlord verification.,2026-09-13,lease_term_missing; floorplan_all_in_differs,9,1149.0,1946.0,2026-05-18,2026-09-14,False,True,12.179761335574153,Outside 5 mi,37909.139851831525,12.850384956527858,Outside 5 mi,41450.03257046709,10.375583168760146,Outside 5 mi,28383.07913105357,False
ocpvcjy8we,Rare 4 bedroom 4 full bath only $2200. per month,1351 Crab Orchard Drive 202,Raleigh,NC,27606,35.762584,-78.703352,2200.0,2200.0,"$2,200",Whole unit,Whole unit,4.0,4.0,4 Beds,Residential Condo Unit For Rent,False,False,12 Month Lease,2026-08-07T10:33:48Z,https://offcampus.dasa.ncsu.edu/housing/property/rare-4-bedroom-4-full-bath-only-2200-per-month/ocpvcjy8we,True,Included in rent means,,Source pricing flag retained; automated consistency checks passed. This is not independent landlord verification.,2026-09-13,all_floorplans_2027_or_later,1,2200.0,2200.0,2027-08-05,2027-08-05,True,False,1.6863306662969657,>1–3 mi,3623.825918047979,1.5096980382589997,>1–3 mi,2691.2056420075187,2.4798222005848114,>1–3 mi,2746.5387809121958,True
7e6kx1w,Centennial Ridge Student Housing,2450 Centennial Ridge Way,Raleigh,NC,27603,35.745958,-78.69065,599.0,2157.0,"$599 - $2,157",Per bedroom,Per bedroom,3.0,3.0,3 Beds,Apartment Community,False,False,11 Month Lease,2026-08-14T07:28:17Z,https://offcampus.dasa.ncsu.edu/housing/property/centennial-ridge-student-housing/7e6kx1w,True,Included in rent means,,"Portal explicitly labels the entire $599–$2,157 range per bedroom (reviewed September 13). Retained as reported, but the high endpoint needs landlord confirmation. Sensitivity results also omit this listing; no assumed division by three.",2026-09-13,floorplan_all_in_differs; high_endpoint_review,1,599.0,2157.0,2026-08-14,2026-08-14,False,True,2.3721447191090372,>1–3 mi,3315.0758831042835,1.7357078099887413,>1–3 mi,3884.537236740554,3.7055217119201496,>3–5 mi,3725.15463893839,True
ocpw46rjcl,Brand New Luxury Furnished Townhome | 4 Bed /  3.5 Bath | 5 Min to NC State & 3 Mins to Fenton +shop,,Raleigh,NC,27606,35.774826,-78.740894,900.0,1050.0,"$900 - $1,050",Per bedroom,Per bedroom,3.0,3.0,3 Beds,Townhome,True,False,12 Month Lease,2026-07-08T00:53:37Z,https://offcampus.dasa.ncsu.edu/housing/property/brand-new-luxury-furnished-townhome-4-bed-3-5-bath-5-min-to-nc-state-and-3-mins-to-fenton-shop/ocpw46rjcl,True,Included in rent means,,Source pricing flag retained; automated consistency checks passed. This is not independent landlord verification.,2026-09-13,,1,900.0,1050.0,2026-08-01,2026-08-01,False,False,3.3349970297971607,>3–5 mi,1768.7843173290087,3.5789267017412856,>3–5 mi,3056.732985193988,2.6317869022084666,>1–3 mi,1944.1651563392966,True
mc0h4yh,The Reserve at Patterson Place,1055 Stillwell Dr,Durham,NC,27707,35.950566,-78.983303,1288.0,2422.0,"$1,288 - $2,422",Whole unit,Whole unit,1.0,3.0,1 - 3 Beds,Apartment Community,False,False,,2026-09-07T07:40:35Z,https://offcampus.dasa.ncsu.edu/housing/property/the-reserve-at-patterson-place/mc0h4yh,False,Excluded from rent means,Search/detail price mismatch,"Source pricing flag retained; automated consistency checks passed. This is not independent landlord verification. Search summary: $1288–$2422; saved floor-plan envelope: $1238–$2422. Difference may reflect fees, timing or scope; unresolved snapshot price excluded.",2026-09-13,price_mismatch; lease_term_missing,21,1238.0,2422.0,2026-06-19,2026-12-06,False,False,20.613532105118523,Outside 5 mi,82439.4495150258,21.23984356529508,Outside 5 mi,85746.37402475801,18.836598312449112,Outside 5 mi,73057.23908973132,False
ocpchygggd,Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!,2020 University Woods Road Apt 102,Raleigh,NC,27603,35.749382,-78.69395,695.0,695.0,$695,Per bedroom,Per bedroom,2.0,2.0,2 Beds,Residential Condo Unit For Rent,True,False,12 Month Lease,2026-02-16T16:42:25Z,https://offcampus.dasa.ncsu.edu/housing/property/hurry-2-rooms-left-4br-4ba-condo-near-nc-state-all-utilities-and-internet-included/ocpchygggd,True,Included in rent means,,Source pricing flag retained; automated consistency checks passed. This is not independent landlord verification.,2026-09-13,,1,695.0,695.0,1970-01-01,1970-01-01,False,False,2.1923662982834173,>1–3 mi,4264.3059450635565,1.622412333916784,>1–3 mi,3286.337123080619,3.43886765110602,>3–5 mi,2317.221197839785,True
es0855q,Maxwell Raleigh,3101 Hillsborough St,Raleigh,NC,27607,35.78944,-78.678155,799.0,1899.0,"$799 - $1,899",Whole unit,Review,0.0,4.0,Studio - 4 Beds,Apartment Community,False,False,11 Month Lease,2026-08-29T07:34:06Z,https://offcampus.dasa.ncsu.edu/housing/property/maxwell-raleigh/es0855q,False,Excluded from rent means,Unresolved pricing basis,Saved floor plans contain both per-bedroom and whole-unit flags. A single property range cannot be assigned a reliable common pricing basis; no division by bedroom count or price substitution.,2026-09-13,pricing_basis_review,36,799.0,1899.0,2027-08-13,2027-08-13,False,False,0.7139793622917193,0–1 mi,1510.188967099722,1.4334677806269027,>1–3 mi,2288.7098817100464,1.5812217815477279,>1–3 mi,3068.851006572003,True
ocpesl9n3p,maisonNC --- Fully Furnished minutes away from Wolfline and Shopping,1251 University Court,Raleigh,NC,27606,35.763398,-78.702658,750.0,750.0,$750,Per bedroom,Per bedroom,4.0,4.0,4 Beds,Residential Condo Unit For Rent,True,False,6 Month Lease,2026-09-03T16:16:57Z,https://offcampus.dasa.ncsu.edu/housing/property/maisonnc-fully-furnished-minutes-away-from-wolfline-and-shopping/ocpesl9n3p,True,Included in rent means,,Source pricing flag retained; automated consistency checks passed. This is not independent landlord verification.,2026-09-13,,1,750.0,750.0,1970-01-01,1970-01-01,False,False,1.6193493622807462,>1–3 mi,3270.16463284234,1.4572333778854396,>1–3 mi,2414.192235235121,2.4245549187538913,>1–3 mi,3038.350028979454,True
lvqgnje,Trellis-University Hill,3017 Pickett Rd,Durham,NC,27705,35.973823,-78.963096,1400.0,1625.0,"$1,400 - $1,625",Whole unit,Whole unit,1.0,2.0,1 - 2 Beds,Apartment Community,False,False,12 Month Lease,2026-08-20T08:00:01Z,https://offcampus.dasa.ncsu.edu/housing/property/trellis-university-hill/lvqgnje,True,Included in rent means,,Source pricing flag retained; automated consistency checks passed. This is not independent landlord verification.,2026-09-13,,2,1400.0,1625.0,2026-08-25,2026-08-25,False,False,20.699582448645288,Outside 5 mi,82893.79532884712,21.36701740449956,Outside 5 mi,86417.85189575767,18.894969219826667,Outside 5 mi,73365.4374806848,False
ocpcm3jede,maisonNC --- Fully Furnished minutes away from Wolfline and Shopping,1440 Collegiate Circle,Raleigh,NC,27606,35.762694,-78.701312,750.0,750.0,$750,Per bedroom,Per bedroom,4.0,4.0,4 Beds,Residential Condo Unit For Rent,True,False,6 Month Lease,2026-09-03T16:23:39Z,https://offcampus.dasa.ncsu.edu/housing/property/maisonnc-fully-furnished-minutes-away-from-wolfline-and-shopping/ocpcm3jede,True,Included in rent means,,Source pricing flag retained; automated consistency checks passed. This is not independent landlord verification.,2026-09-13,,1,750.0,750.0,2026-09-01,2026-09-01,False,False,1.6003712180034149,>1–3 mi,3169.9600310580304,1.3979906391999604,>1–3 mi,2101.3905749757905,2.4767507024032347,>1–3 mi,2762.756291310921,True
seyb987,Wesley,442 Jefferson Towne Dr,Raleigh,NC,27606,35.779833,-78.741537,1240.0,2160.0,"$1,240 - $2,160",Whole unit,Whole unit,1.0,3.0,1 - 3 Beds,Apartment Community,False,False,,2026-09-03T07:38:50Z,https://offcampus.dasa.ncsu.edu/housing/property/wesley/seyb987,True,Included in rent means,,Source pricing flag retained; automated consistency checks passed. This is not independent landlord verification.,2026-09-13,lease_term_missing; floorplan_all_in_differs,6,1240.0,2160.0,2026-07-09,2026-08-28,False,True,3.3552690309201325,>3–5 mi,1875.8204832582996,3.671232195629428,>3–5 mi,3544.10599292338,2.4628050958690744,>1–3 mi,2836.3890938112872,True
